year,boat,volume,type,country,port,long,lat,distance
1906,,,steamboat,asian turkey,Izmir,38.4153421,27.144474,1007
1906,12,46344,steamboat,asian turkey,Izmir,38.4153421,27.144474,1007
1907,13,2596,vessel,crete – turkey,,40.2362233,26.2945493,854
1907,4,5750,steamboat,crete – turkey,,40.2362233,26.2945493,854
1907,57,12297,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1907,54,89495,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1907,3,692,vessel,asian turkey,Izmir,38.4153421,27.144474,1007
1907,137,183535,steamboat,asian turkey,Izmir,38.4153421,27.144474,1007
1908,6,1125,vessel,crete – turkey,,40.2362233,26.2945493,854
1908,6,4184,steamboat,crete – turkey,,40.2362233,26.2945493,854
1908,48,10982,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1908,35,52606,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1908,4,1038,vessel,asian turkey,Izmir,38.4153421,27.144474,1007
1908,130,183091,steamboat,asian turkey,Izmir,38.4153421,27.144474,1007
1909,3,758,vessel,crete – turkey,,40.2362233,26.2945493,854
1909,8,5342,steamboat,crete – turkey,,40.2362233,26.2945493,854
1909,44,10546,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1909,25,41300,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1909,2,306,vessel,asian turkey,Izmir,38.4153421,27.144474,1007
1909,128,180322,steamboat,asian turkey,Izmir,38.4153421,27.144474,1007
