"year","boat","volume","type","country","new_loc","port","lon","lat"
1906,"12",46552,"steamboat","japan",32,"Tokyo",139.691706,35.689488
1906,"60",132614,"steamboat","egypt",20,"Alexandria",29.8943785,31.1990035
1906,"1",116,"vessel","tripoli",33,"Tripoli",13.191338,32.887209
1906,"7",5242,"steamboat","tunisia",56,"Tunis",10.19274,37.837495
1906,"2",873,"vessel","algeria",2,"Algiers",3.05762,36.699729
1906,"13",9106,"steamboat","algeria",2,"Algiers",3.05762,36.699729
1906,"10",7295,"steamboat","morocco",39,"Casablanca",-7.6188008,33.5949733
1906,"12",32160,"steamboat","south africa uk",51,"Cape Town",18.424055,-33.924868
1906,"1",1053,"steamboat","western africa france",49,"Dakar",-17.366029,14.764504
1906,"108",373848,"steamboat","usa",60,"New York",-73.9865811,40.7305991
1906,"3",4443,"steamboat","mexico",37,"Veracruz",-96.6666669,19.333333
1906,"1",743,"vessel","caribbean uk",31,"Kingston, Jamaica",-76.7928127,17.9712148
1906,"10",16774,"steamboat","brazil",10,"Rio de Janeiro",-43.2093726,-22.9110136
1906,"8",13663,"steamboat","argentina",4,"Buenos Aires",-58.4460878,-34.6143904
1906,"1",1447,"vessel","chile",14,"Valparaiso",-71.6198031,-33.0462474
1895,"2124",42013,"vessel","austro illirian litoral",6,"Other Austro-Hungarian ports",13.776819,46.649526
1895,"2355",139659,"steamboat","austro illirian litoral",6,"Other Austro-Hungarian ports",13.776819,46.649526
1895,"117",4930,"vessel","hungarian litoral",6,"Other Austro-Hungarian ports",13.776818,45.649526
1895,"77",32658,"steamboat","hungarian litoral",6,"Other Austro-Hungarian ports",13.776818,45.649526
1895,"226",10283,"vessel","dalmatia",6,"Other Austro-Hungarian ports",13.776818,45.649526
1895,"537",165397,"steamboat","dalmatia",6,"Other Austro-Hungarian ports",13.776818,45.649526
1895,"50",82253,"steamboat","egypt",20,"Alexandria",29.8943785,31.1990035
1895,"10",2741,"vessel","algeria",2,"Algiers",3.05762,36.699729
1895,"2",2418,"steamboat","algeria",2,"Algiers",3.05762,36.699729
1895,"1",72,"vessel","tripoli",33,"Tripoli",13.191338,32.887209
1895,"3",241,"vessel","tunisia",56,"Tunis",10.19274,37.837495
1895,"7",4151,"steamboat","tunisia",56,"Tunis",10.19274,37.837495
1895,"11",5856,"vessel","usa",60,"New York",-73.9865811,40.7305991
1895,"23",34896,"steamboat","usa",60,"New York",-73.9865811,40.7305991
1895,"2",1014,"vessel","jamaica uk",31,"Kingston",-76.7928127,17.9712148
1895,"1",193,"vessel","trinidad uk",55,"Port of Spain",-61.501926,10.654901
1895,"19",27130,"steamboat","brazil",10,"Rio de Janeiro",-43.2093726,-22.9110136
1895,"31",62472,"steamboat","india uk",27,"Calcutta ",88.363895,22.572646
1895,"1",442,"vessel","siam uk",54,"Bangkok",100.501765,13.756331
1895,"12",30373,"steamboat","japan",32,"Tokyo",139.691706,35.689488
1895,"19",18291,"steamboat","hamburg",23,"Hamburg",10.000654,53.5503414
1895,"6",7710,"steamboat","belgium",8,"Ostend",2.928656,51.21543
1895,"5",4782,"steamboat","atlantic france",22,"Le Havre",0.1079732,49.4938975
1895,"3",944,"vessel","mediterranean france",22,"Marseille",5.3699525,43.2961743
1895,"88",71815,"steamboat","mediterranean france",22,"Marseille",5.3699525,43.2961743
1895,"4",1785,"vessel","uk",58,"London",-0.1276473,51.5073219
1895,"171",217526,"steamboat","uk",58,"London",-0.1276473,51.5073219
1895,"22",13342,"steamboat","malta uk",35,"La Valletta",14.514553,35.898908
1895,"37",4574,"vessel","greece",25,"Thessaloniki",22.9352716,40.6403167
1895,"6",5092,"steamboat","greece",25,"Thessaloniki",22.9352716,40.6403167
1895,"457",14404,"vessel","veneto",30,"Venezia",12.315515,45.440847
1895,"322",184127,"steamboat","veneto",30,"Venezia",12.315515,45.440847
1895,"295",10198,"vessel","romagna e marche",30,"Ancona",13.5170982,43.6170137
1895,"56",12381,"steamboat","romagna e marche",30,"Ancona",13.5170982,43.6170137
1895,"110",7617,"vessel","neaples",30,"Neaples",14.268124,40.851775
1895,"131",39636,"steamboat","neaples",30,"Neaples",14.268124,40.851775
1895,"77",11030,"vessel","sicily",30,"Palermo",13.3534422,38.11127
1895,"105",40298,"steamboat","sicily",30,"Palermo",13.3534422,38.11127
1895,"70",73550,"steamboat","liguria and sardegna",30,"Genoa",8.946256,44.40565
1895,"4",123,"vessel","montenegro",38,"Port of Bar",19.083959,42.087462
1895,"5",6282,"steamboat","low countries",41,"Rotterdam",4.488623269,51.92779805
1895,"28",29063,"steamboat","rumenia",46,"Costantza",28.634814,44.159801
1895,"38",56229,"steamboat","russia black sea",48,"Novorossiysk",37.7690711,44.7239578
1895,"2",1237,"steamboat","spain",52,"Barcelona",2.1771353,41.3825596
1895,"1",102,"vessel","sweden and norway",53,"Göteborg",11.97456,57.70887
1895,"114",9411,"vessel","turkey",57,"Izmir",27.144474,38.4153421
1895,"300",269299,"steamboat","turkey",57,"Izmir",27.144474,38.4153421
1892,"2325",46813,"vessel","austro illirian litoral",6,"Other Austro-Hungarian ports",13.776819,46.649526
1892,"1963",112008,"steamboat","austro illirian litoral",6,"Other Austro-Hungarian ports",13.776819,46.649526
1892,"126",5993,"vessel","hungarian litoral",6,"Other Austro-Hungarian ports",13.776818,45.649526
1892,"131",39498,"steamboat","hungarian litoral",6,"Other Austro-Hungarian ports",13.776818,45.649526
1892,"193",8685,"vessel","dalmatia",6,"Other Austro-Hungarian ports",13.776818,45.649526
1892,"461",137473,"steamboat","dalmatia",6,"Other Austro-Hungarian ports",13.776818,45.649526
1892,"25",13465,"vessel","usa",60,"New York",-73.9865811,40.7305991
1892,"7",13211,"steamboat","usa",60,"New York",-73.9865811,40.7305991
1892,"5",2528,"vessel","jamaica uk",31,"Kingston",-76.7928127,17.9712148
1892,"1",269,"vessel","trinidad uk",55,"Port of Spain",-61.501926,10.654901
1892,"19",23681,"steamboat","brazil",10,"Rio de Janeiro",-43.2093726,-22.9110136
1892,"1",311,"vessel","uruguay",59,"Montevideo",-56.1913568,-34.9059038
1892,"1",399,"vessel","egypt",20,"Alexandria",29.8943785,31.1990035
1892,"57",95708,"steamboat","egypt",20,"Alexandria",29.8943785,31.1990035
