"X","year","boat","volume","type","country","port","long","lat","distance"
151,1861,"88",23607,"vessel","uk –","London",51.5073219,-0.1276473,2968
152,1861,"51",46281,"steamboat","uk –","London",51.5073219,-0.1276473,2968
153,1861,"21",3547,"vessel","low countries","Rotterdam",51.92779805,4.48862326926,3009
154,1861,"8",3104,"steamboat","low countries","Rotterdam",51.92779805,4.48862326926,3009
155,1861,"17",NA,"vessel","belgium","Ostend",50.1160632,8.72011225465,2933
156,1861,"",2240,"vessel","hamburg","",53.5503414,10.000654,3262
157,1861,"1",74,"vessel","bemen",NA,NA,NA,NA
158,1861,"2",336,"vessel","prussia","Rostok",54.0924445,12.1286127,3669
159,1861,"",NA,"vessel","denmark","Copenhagen",55.6867243,12.5700724,3560
160,1861,"2",323,"vessel","sweden and norway",NA,NA,NA,NA
161,1861,"8",1356,"vessel","russia baltic sea ","St Petersburg",27.7703796,-82.6695084,4251
162,1861,"11",3299,"vessel","russia black sea ","Novorossiysk",44.7239578,37.7690711,1608
163,1861,"1",550,"steamboat","russia black sea ","Novorossiysk",44.7239578,37.7690711,1608
164,1861,"239",26542,"vessel","turkey","Izmir",38.4153421,27.144474,1007
165,1861,"122",54783,"steamboat","turkey","Izmir",38.4153421,27.144474,1007
166,1861,"2",320,"vessel","moldavia","",47.286747,28.5110236,1400
167,1861,"",NA,"steamboat","moldavia","",47.286747,28.5110236,1400
168,1861,"2",341,"vessel","valacchia",NA,NA,NA,NA
169,1861,"",NA,"steamboat","valacchia",NA,NA,NA,NA
170,1861,"58",18062,"vessel","egypt","Alexandria",31.1990035,29.8943785,1191
171,1861,"36",24387,"steamboat","egypt","Alexandria",31.1990035,29.8943785,1191
172,1861,"3",602,"vessel","tunisia","",33.8439408,9.400138,930
173,1861,"3",1525,"vessel","american spain","Havana, Cuba",23.1379911,-82.3658561,5677
174,1861,"4",2191,"vessel","usa","New York",40.7305991,-73.9865811,4854
175,1861,"32",8637,"vessel","brazil","Rio de Janeiro",-22.9110136,-43.2093726,5838
176,1861,"",NA,"vessel","",NA,NA,NA,NA
179,1861,"922",258329,"vessel","",NA,NA,NA,NA
181,1861,"10283",740952,"vessel","",NA,NA,NA,NA
182,1862,"7361",181227,"vessel","austria","",47.2000338,13.199959,0
183,1862,"449",84421,"steamboat","austria","",47.2000338,13.199959,0
184,1862,"663",36804,"vessel","papal state","Ancona",43.6170137,13.5170982,130
185,1862,"1",123,"steamboat","papal state","Ancona",43.6170137,13.5170982,130
